lower,lower_cp,upper,upper_cp,locale,note
á,U+00E1,Á,U+00C1,default,
à,U+00E0,À,U+00C0,default,
â,U+00E2,Â,U+00C2,default,
ä,U+00E4,Ä,U+00C4,default,
ã,U+00E3,Ã,U+00C3,default,
å,U+00E5,Å,U+00C5,default,
ā,U+0101,Ā,U+0100,default,
ă,U+0103,Ă,U+0102,default,
ą,U+0105,Ą,U+0104,default,
ǎ,U+01CE,Ǎ,U+01CD,default,
ȧ,U+0227,Ȧ,U+0226,default,
ạ,U+1EA1,Ạ,U+1EA0,default,
ả,U+1EA3,Ả,U+1EA2,default,
ấ,U+1EA5,Ấ,U+1EA4,default,
ầ,U+1EA7,Ầ,U+1EA6,default,
ẩ,U+1EA9,Ẩ,U+1EA8,default,
ẫ,U+1EAB,Ẫ,U+1EAA,default,
ậ,U+1EAD,Ậ,U+1EAC,default,
ắ,U+1EAF,Ắ,U+1EAE,default,
ằ,U+1EB1,Ằ,U+1EB0,default,
ẳ,U+1EB3,Ẳ,U+1EB2,default,
ẵ,U+1EB5,Ẵ,U+1EB4,default,
ặ,U+1EB7,Ặ,U+1EB6,default,
é,U+00E9,É,U+00C9,default,
è,U+00E8,È,U+00C8,default,
ê,U+00EA,Ê,U+00CA,default,
ë,U+00EB,Ë,U+00CB,default,
ē,U+0113,Ē,U+0112,default,
ě,U+011B,Ě,U+011A,default,
ę,U+0119,Ę,U+0118,default,
ė,U+0117,Ė,U+0116,default,
ĕ,U+0115,Ĕ,U+0114,default,
ẽ,U+1EBD,Ẽ,U+1EBC,default,
ẹ,U+1EB9,Ẹ,U+1EB8,default,
ẻ,U+1EBB,Ẻ,U+1EBA,default,
ế,U+1EBF,Ế,U+1EBE,default,
ề,U+1EC1,Ề,U+1EC0,default,
ể,U+1EC3,Ể,U+1EC2,default,
ễ,U+1EC5,Ễ,U+1EC4,default,
ệ,U+1EC7,Ệ,U+1EC6,default,
í,U+00ED,Í,U+00CD,default,
ì,U+00EC,Ì,U+00CC,default,
î,U+00EE,Î,U+00CE,default,
ï,U+00EF,Ï,U+00CF,default,
ī,U+012B,Ī,U+012A,default,
į,U+012F,Į,U+012E,default,
ǐ,U+01D0,Ǐ,U+01CF,default,
ĭ,U+012D,Ĭ,U+012C,default,
ĩ,U+0129,Ĩ,U+0128,default,
ı,U+0131,I,U+0049,default,
ị,U+1ECB,Ị,U+1ECA,default,
ỉ,U+1EC9,Ỉ,U+1EC8,default,
ó,U+00F3,Ó,U+00D3,default,
ò,U+00F2,Ò,U+00D2,default,
ô,U+00F4,Ô,U+00D4,default,
ö,U+00F6,Ö,U+00D6,default,
õ,U+00F5,Õ,U+00D5,default,
ø,U+00F8,Ø,U+00D8,default,
ō,U+014D,Ō,U+014C,default,
ő,U+0151,Ő,U+0150,default,
ŏ,U+014F,Ŏ,U+014E,default,
ǒ,U+01D2,Ǒ,U+01D1,default,
ọ,U+1ECD,Ọ,U+1ECC,default,
ơ,U+01A1,Ơ,U+01A0,default,
ỏ,U+1ECF,Ỏ,U+1ECE,default,
ố,U+1ED1,Ố,U+1ED0,default,
ồ,U+1ED3,Ồ,U+1ED2,default,
ổ,U+1ED5,Ổ,U+1ED4,default,
ỗ,U+1ED7,Ỗ,U+1ED6,default,
ộ,U+1ED9,Ộ,U+1ED8,default,
ớ,U+1EDB,Ớ,U+1EDA,default,
ờ,U+1EDD,Ờ,U+1EDC,default,
ở,U+1EDF,Ở,U+1EDE,default,
ỡ,U+1EE1,Ỡ,U+1EE0,default,
ợ,U+1EE3,Ợ,U+1EE2,default,
ü,U+00FC,Ü,U+00DC,default,
ú,U+00FA,Ú,U+00DA,default,
ù,U+00F9,Ù,U+00D9,default,
û,U+00FB,Û,U+00DB,default,
ū,U+016B,Ū,U+016A,default,
ů,U+016F,Ů,U+016E,default,
ű,U+0171,Ű,U+0170,default,
ų,U+0173,Ų,U+0172,default,
ŭ,U+016D,Ŭ,U+016C,default,
ǔ,U+01D4,Ǔ,U+01D3,default,
ụ,U+1EE5,Ụ,U+1EE4,default,
ũ,U+0169,Ũ,U+0168,default,
ư,U+01B0,Ư,U+01AF,default,
ủ,U+1EE7,Ủ,U+1EE6,default,
ứ,U+1EE9,Ứ,U+1EE8,default,
ừ,U+1EEB,Ừ,U+1EEA,default,
ử,U+1EED,Ử,U+1EEC,default,
ữ,U+1EEF,Ữ,U+1EEE,default,
ự,U+1EF1,Ự,U+1EF0,default,
ý,U+00FD,Ý,U+00DD,default,
ÿ,U+00FF,Ÿ,U+0178,default,
ỳ,U+1EF3,Ỳ,U+1EF2,default,
ŷ,U+0177,Ŷ,U+0176,default,
ȳ,U+0233,Ȳ,U+0232,default,
ỹ,U+1EF9,Ỹ,U+1EF8,default,
ỵ,U+1EF5,Ỵ,U+1EF4,default,
ỷ,U+1EF7,Ỷ,U+1EF6,default,
ç,U+00E7,Ç,U+00C7,default,
č,U+010D,Č,U+010C,default,
ć,U+0107,Ć,U+0106,default,
ĉ,U+0109,Ĉ,U+0108,default,
ċ,U+010B,Ċ,U+010A,default,
ñ,U+00F1,Ñ,U+00D1,default,
ň,U+0148,Ň,U+0147,default,
ń,U+0144,Ń,U+0143,default,
ņ,U+0146,Ņ,U+0145,default,
ǹ,U+01F9,Ǹ,U+01F8,default,
ṅ,U+1E45,Ṅ,U+1E44,default,
ṇ,U+1E47,Ṇ,U+1E46,default,
š,U+0161,Š,U+0160,default,
ś,U+015B,Ś,U+015A,default,
ş,U+015F,Ş,U+015E,default,
ș,U+0219,Ș,U+0218,default,
ŝ,U+015D,Ŝ,U+015C,default,
ṡ,U+1E61,Ṡ,U+1E60,default,
ž,U+017E,Ž,U+017D,default,
ż,U+017C,Ż,U+017B,default,
ź,U+017A,Ź,U+0179,default,
ẑ,U+1E91,Ẑ,U+1E90,default,
ẓ,U+1E93,Ẓ,U+1E92,default,
ř,U+0159,Ř,U+0158,default,
ŕ,U+0155,Ŕ,U+0154,default,
ŗ,U+0157,Ŗ,U+0156,default,
ṛ,U+1E5B,Ṛ,U+1E5A,default,
ł,U+0142,Ł,U+0141,default,
ľ,U+013E,Ľ,U+013D,default,
ĺ,U+013A,Ĺ,U+0139,default,
ļ,U+013C,Ļ,U+013B,default,
ŀ,U+0140,Ŀ,U+013F,default,
ť,U+0165,Ť,U+0164,default,
ţ,U+0163,Ţ,U+0162,default,
ț,U+021B,Ț,U+021A,default,
ŧ,U+0167,Ŧ,U+0166,default,
ď,U+010F,Ď,U+010E,default,
ḑ,U+1E11,Ḑ,U+1E10,default,
ḍ,U+1E0D,Ḍ,U+1E0C,default,
ğ,U+011F,Ğ,U+011E,default,
ģ,U+0123,Ģ,U+0122,default,
ġ,U+0121,Ġ,U+0120,default,
ĝ,U+011D,Ĝ,U+011C,default,
ǧ,U+01E7,Ǧ,U+01E6,default,
ķ,U+0137,Ķ,U+0136,default,
ǩ,U+01E9,Ǩ,U+01E8,default,
ħ,U+0127,Ħ,U+0126,default,
ĥ,U+0125,Ĥ,U+0124,default,
ḥ,U+1E25,Ḥ,U+1E24,default,
ĵ,U+0135,Ĵ,U+0134,default,
ŵ,U+0175,Ŵ,U+0174,default,
ẃ,U+1E83,Ẃ,U+1E82,default,
ẁ,U+1E81,Ẁ,U+1E80,default,
ẅ,U+1E85,Ẅ,U+1E84,default,
ḿ,U+1E3F,Ḿ,U+1E3E,default,
ṁ,U+1E41,Ṁ,U+1E40,default,
ṃ,U+1E43,Ṃ,U+1E42,default,
ḃ,U+1E03,Ḃ,U+1E02,default,
ḅ,U+1E05,Ḅ,U+1E04,default,
ḟ,U+1E1F,Ḟ,U+1E1E,default,
ṗ,U+1E57,Ṗ,U+1E56,default,
ṽ,U+1E7D,Ṽ,U+1E7C,default,
ṿ,U+1E7F,Ṿ,U+1E7E,default,
ẋ,U+1E8B,Ẋ,U+1E8A,default,
ẍ,U+1E8D,Ẍ,U+1E8C,default,
æ,U+00E6,Æ,U+00C6,default,ash ligature
œ,U+0153,Œ,U+0152,default,ethel ligature
ß,U+00DF,ẞ,U+1E9E,default,"eszett; full uppercasing = ""SS"""
ø,U+00F8,Ø,U+00D8,default,slashed o
ð,U+00F0,Ð,U+00D0,default,eth
þ,U+00FE,Þ,U+00DE,default,thorn
đ,U+0111,Đ,U+0110,default,d-stroke (used in Vietnamese)
ŋ,U+014B,Ŋ,U+014A,default,eng
ĳ,U+0133,Ĳ,U+0132,default,Dutch ij digraph
ŉ,U+0149,,,default,apostrophe-n; no single-char capital
i,U+0069,İ,U+0130,tr / az,dotted i -> dotted capital (NOT plain I)
ı,U+0131,I,U+0049,tr / az,dotless i -> plain capital I
