# EnglishRegionTags.txt — per-word regional skew. Derived from Wiktionary
# regional sense labels, sense categories and alternative-spelling forms via Kaikki
# wiktextract (CC BY-SA 4.0; attribution: Wiktionary contributors / Tatu Ylonen's
# FILTERED to spelling-variant pairs only (2026-08-11, the "only;GB"
# incident): a tag survives only if the standard GB<->US spelling
# transform of the word exists in EnglishWordsRaw. Wiktionary regional
# SENSE labels over-tagged core vocabulary (only, half, abroad...) and
# the interleave partition made the demotion visible list-wide.
# word;skew
ae;US
aeon;GB
aether;GB
ageing;GB
aging;US
agonised;GB
agonising;GB
agonized;US
agonizing;US
amphitheater;US
amphitheatre;GB
anaemia;GB
anaemic;GB
anaesthesia;GB
anaesthetic;GB
anaesthetist;GB
analog;US
analogue;GB
analyse;GB
analyze;US
anemia;US
anemic;US
anesthesia;US
anesthetic;US
anesthetist;US
antagonise;GB
antagonize;US
apologise;GB
apologised;GB
apologises;GB
apologising;GB
apologize;US
apologized;US
apologizes;US
apologizing;US
archaeological;GB
archaeologist;GB
archaeology;GB
archeological;US
archeologist;US
archeology;US
ardor;US
armor;US
armored;US
armoured;GB
authorisation;GB
authorise;GB
authorised;GB
authorize;US
authorized;US
bae;GB
baptise;GB
baptised;GB
baptized;US
behavior;US
behaviour;GB
bet;US
brae;GB
bre;GB
caesarean;GB
caesium;GB
caliber;US
canceled;US
candor;US
catalog;US
center;US
centimeter;US
centimetre;GB
centre;GB
cesarean;US
cesium;US
channeling;US
channelled;GB
channelling;GB
characterised;GB
characterized;US
chiseled;US
chiselled;GB
civilisation;GB
civilisations;GB
civilised;GB
civilization;US
civilizations;US
civilized;US
clamor;US
clamour;GB
colonisation;GB
colonise;GB
colonised;GB
colonization;US
colonize;US
colonized;US
color;US
colored;US
colorful;US
coloring;US
colorless;US
colour;GB
coloured;GB
colourful;GB
colouring;GB
colourless;GB
computerised;GB
computerized;US
councilor;US
counseling;US
counselling;GB
counselor;US
criticise;GB
criticised;GB
criticising;GB
criticize;US
criticized;US
criticizing;US
defence;GB
defense;US
demeanor;US
demeanour;GB
dialling;GB
dialog;US
dialogue;GB
diarrhea;US
diarrhoea;GB
dishonor;US
dishonour;GB
disorganised;GB
disorganized;US
duelling;GB
empathise;GB
empathize;US
emphasise;GB
emphasize;US
encyclopaedia;GB
encyclopedia;US
endeavor;US
energise;GB
energize;US
eon;US
epicenter;US
epicentre;GB
esophagus;US
estrogen;US
faeces;GB
fantasise;GB
fantasize;US
favor;US
favored;US
favorite;US
favour;GB
favourite;GB
feces;US
fertilise;GB
fertilised;GB
fertiliser;GB
fertilize;US
fertilized;US
fertilizer;US
fervor;US
fervour;GB
fetal;US
fiber;US
finalise;GB
finalised;GB
finalize;US
finalized;US
flavor;US
flavored;US
flavour;GB
flavoured;GB
foetal;GB
foetus;GB
fossilised;GB
fossilized;US
fueled;US
fueling;US
fuelling;GB
glamor;US
glamour;GB
globalisation;GB
globalization;US
goer;GB
gonorrhea;US
gonorrhoea;GB
groveling;US
grovelling;GB
gynaecologist;GB
gynecologist;US
hae;GB
haematoma;GB
haemoglobin;GB
haemorrhage;GB
harbor;US
harbour;GB
hemoglobin;US
hemorrhage;US
honor;US
honored;US
honour;GB
honoured;GB
hospitalised;GB
hospitalized;US
humor;US
humour;GB
hypnotise;GB
hypnotised;GB
hypnotize;US
hypnotized;US
immortalised;GB
immortalized;US
jeopardise;GB
jeopardised;GB
jeopardize;US
jeopardized;US
jes;US
kilometer;US
kilometre;GB
labeled;US
labor;US
laboring;US
labour;GB
laboured;GB
lem;US
leukaemia;GB
leukemia;US
leveling;US
licence;GB
license;US
liter;US
litre;GB
luster;US
lustre;GB
materialise;GB
materialised;GB
materialized;US
maximise;GB
maximize;US
mediaeval;GB
medieval;US
memorise;GB
memorised;GB
memorize;US
memorized;US
mesmerised;GB
mesmerising;GB
mesmerized;US
mesmerizing;US
meter;US
millimeter;US
millimetre;GB
minimise;GB
minimize;US
misdemeanour;GB
miter;US
mitre;GB
mobilisation;GB
mobilise;GB
mobilised;GB
mobilize;US
mobilized;US
modeled;US
modeling;US
modelled;GB
modelling;GB
modernise;GB
modernize;US
motorised;GB
motorized;US
neighbor;US
neighboring;US
neighbour;GB
neighbouring;GB
neutralise;GB
neutralised;GB
neutralize;US
neutralized;US
odor;US
odour;GB
oesophagus;GB
oestrogen;GB
offense;US
organisation;GB
organisations;GB
organise;GB
organised;GB
organiser;GB
organises;GB
organising;GB
organization;US
organizations;US
organize;US
organized;US
organizes;US
organizing;US
paedophile;GB
parlor;US
parlour;GB
patronise;GB
patronising;GB
patronize;US
patronizing;US
pedalling;GB
pedophile;US
personalised;GB
personalized;US
pressurised;GB
pressurized;US
pretence;GB
pretense;US
prioritise;GB
prioritize;US
programme;GB
quarreling;US
rancor;US
realisation;GB
realise;GB
realised;GB
realises;GB
realising;GB
realize;US
realized;US
realizes;US
realizing;US
recognise;GB
recognised;GB
recognises;GB
recognising;GB
recognizes;US
recognizing;US
refueling;US
refuelling;GB
revolutionise;GB
revolutionised;GB
revolutionize;US
revolutionized;US
rigor;US
rigour;GB
rumor;US
rumour;GB
saber;US
sabre;GB
savior;US
savor;US
savour;GB
scepter;US
sceptre;GB
shoveling;US
shovelling;GB
shriveled;US
shrivelled;GB
signaled;US
signaling;US
signalling;GB
socialise;GB
socialising;GB
socialize;US
socializing;US
somber;US
sombre;GB
sor;US
specialise;GB
specialised;GB
specialises;GB
specialising;GB
specializes;US
specializing;US
specter;US
spectre;GB
spiralling;GB
splendor;US
splendour;GB
stabilise;GB
stabilised;GB
stabilising;GB
stabilize;US
stabilized;US
stabilizing;US
succor;US
succour;GB
summarise;GB
summarize;US
surprize;US
symbolise;GB
symbolised;GB
symbolises;GB
symbolize;US
symbolized;US
symbolizes;US
sympathise;GB
sympathize;US
synchronisation;GB
synchronise;GB
synchronised;GB
synchronization;US
synchronized;US
tantalising;GB
tantalizing;US
terrorise;GB
terrorised;GB
terrorising;GB
terrorize;US
terrorized;US
terrorizing;US
theater;US
timber;US
toe;GB
totaled;US
totalled;GB
traumatised;GB
traumatized;US
traveled;US
traveler;US
traveling;US
travelled;GB
traveller;GB
travelling;GB
tumor;US
tumour;GB
tunnelling;GB
unauthorised;GB
unauthorized;US
uncivilised;GB
uncivilized;US
unraveled;US
unraveling;US
unravelled;GB
unravelling;GB
unrivaled;US
unrivalled;GB
valor;US
valour;GB
vandalised;GB
vandalized;US
vapor;US
vaporised;GB
vaporized;US
vapour;GB
vigor;US
visualise;GB
visualize;US
vocalising;GB
vocalizing;US
womaniser;GB
your;GB
