# EnglishWordsRaw.txt — English word list, rebuilt 2026-08 from license-clean sources.
# Counts: hermitdave/FrequencyWords OpenSubtitles-2018 en_full (CC BY-SA 4.0),
# count >= 80, scaled so top ~1.2M. Inventory filter: English Wiktionary via
# Kaikki wiktextract (CC BY-SA 4.0) membership — drops subtitle OCR junk and typos.
# POS + CaseType: spaCy (MIT) Penn tags + MID-SENTENCE case shares over a 3M-sentence
# English Wikipedia sample (CC BY-SA 4.0, 2026-08 dump); register correction and the
# >=5%-representation guard mirror tools/case-seeds (see README there). CaseType from
# title share s_eff: <0.10 LO, <0.50 LF, <0.90 TF, >=0.90 TO; ALL-CAPS>=60% AC;
# mixed>=50% OC (surface from Wiktionary). Curated rows (abbreviations, extensions,
# contractions, I-forms) carried over from the previous hand-revised list.
# Fields: word;rawFreq;CASETYPE,POS1[,POS2[,POS3]]
you;1200000;LO,PRP
the;948811;LO,DT
to;712800;LO,IN,TO
a;603784;LO,DT
it;568232;LO,PRP
and;440729;LO,CC
that;425339;LO,IN,WDT
of;371623;LO,IN
is;308494;LO,VBZ
in;305843;LO,IN
what;287631;LO,WP
we;281608;LO,PRP
me;268657;LO,PRP
this;239261;LO,DT
he;229948;LO,PRP
for;215679;LO,IN
my;205878;LO,PRP$
on;200997;LO,IN
have;198586;LO,VBP,VB
your;192206;LO,PRP$
do;184241;LO,VBP,VB
was;183476;LO,VBD
no;182369;LO,DT
not;177671;LO,RB
be;175528;LO,VB
are;175235;LO,VBP
don;173352;LO,NNP
know;162253;LO,VB,VBP
can;159490;LO,MD
with;158692;LO,IN
but;151376;LO,CC
all;147759;LO,DT
so;143151;LO,RB,IN
just;138993;LO,RB
there;131245;LO,EX,RB
here;130831;LO,RB
they;127563;LO,PRP
like;124346;LO,IN
get;120185;LO,VB
she;115815;LO,PRP
go;114154;LO,VB
if;109664;LO,IN
right;107414;LO,JJ,NN
out;104629;LO,RP,IN
about;103684;LO,IN,RB
up;102538;LO,RP
at;101352;LO,IN
him;101338;LO,PRP
now;95826;LO,RB
oh;95804;LO,UH,NNP
one;94372;LO,JJ
come;91870;LO,VB,VBN,VBP
well;90035;LO,RB
her;89830;LO,PRP$,PRP
how;89220;LO,WRB
yeah;83396;LO,UH
will;82111;LO,MD
got;82052;LO,VBD
want;81320;LO,VBP,VB
think;76678;LO,VBP,VB
as;74708;LO,IN
see;74261;LO,VB
did;72646;LO,VBD
good;72603;LO,JJ
who;72302;LO,WP
why;71814;LO,WRB
from;71263;LO,IN
let;71083;LO,VB
his;69462;LO,PRP$
yes;68115;LO,UH
when;63850;LO,WRB
going;63393;LO,VBG
time;60597;LO,NN
an;60409;LO,DT
okay;59562;LO,JJ,UH
back;58568;LO,RB
look;56210;LO,VB,NN
US;56145;AC,NNP,PRP
would;55860;LO,MD
them;55337;LO,PRP
where;55116;LO,WRB
were;54855;LO,VBD
take;54700;LO,VB
then;53169;LO,RB
had;53129;LO,VBD
or;52841;LO,CC
been;52737;LO,VBN
our;49686;LO,PRP$
gonna;49529;LO,NNP
tell;49033;LO,VB
really;48967;LO,RB
man;48921;LO,NN,NNP
some;48642;LO,DT
say;48101;LO,VB,VBP
hey;47908;LO,UH,NNP
could;46347;LO,MD
by;45454;LO,IN
need;43357;LO,NN,VBP,VB
something;43295;LO,NN
has;43157;LO,VBZ
too;42625;LO,RB
more;42118;LO,JJR,RBR
way;41692;LO,NN
down;40808;LO,RP,RB
make;40179;LO,VB
very;39419;LO,RB
never;38801;LO,RB
only;36989;LO,RB,JJ
people;36929;LO,NNS
over;36718;LO,IN
because;36687;LO,IN
little;36246;LO,JJ,NNP
please;35103;LO,UH,VB
love;34612;LF,NN,NNP
should;34336;LO,MD
mean;34235;LO,VB,JJ,VBP
said;34135;LO,VBD,VBN
sorry;34099;LO,JJ,UH
give;33845;LO,VB
off;33321;LO,RP,IN
am;32757;LO,VBP,NNP,NN
thank;32246;LO,VBP,VB
any;32012;LO,DT
two;31871;LO,JJ
even;31036;LO,RB
much;30788;LO,JJ,RB
doing;30519;LO,VBG
sure;29571;LO,JJ
thing;29076;LO,NN
these;28476;LO,DT
help;27774;LO,VB,NN
first;27361;LO,JJ
into;27335;LO,IN
anything;26687;LO,NN
still;26659;LO,RB
find;26116;LO,VB,VBP
life;26036;LF,NN
nothing;25945;LO,NN
Sir;25824;TO,NNP
day;25748;LF,NN,NNP
god;25508;LF,NNP
work;25498;LO,NN,VB
their;25060;LO,PRP$
uh;24704;LO,UH,NNP
again;24595;LO,RB
maybe;24222;LO,RB
must;24216;LO,MD
before;24119;LO,IN
other;24060;LO,JJ
wait;23958;LO,VB
stop;23928;LO,VB,NN
call;23885;LO,NN,VB
after;23875;LO,IN
won;23828;LO,VBD
talk;23637;LO,NN,VB
away;23521;LO,RB
than;23386;LO,IN
thought;23283;LO,VBD,VBN,NN
home;23214;LO,NN
night;23190;LF,NN,NNP
put;23020;LO,VBN,VBD,VB
great;22750;LF,JJ,NNP
those;22026;LO,DT
last;21984;LO,JJ
better;21690;LO,JJR,RBR
everything;21667;LO,NN
told;21591;LO,VBD,VBN
new;21196;LF,NNP,JJ
things;20994;LO,NNS
always;20985;LO,RB
keep;20775;LO,VB
long;20687;LF,JJ,RB
years;20086;LO,NNS
leave;19937;LO,VB
does;19933;LO,VBZ
money;19660;LO,NN
around;19653;LO,IN,RB
name;18989;LO,NN
place;18544;LO,NN
ever;18512;LO,RB
feel;18509;LO,VB,VBP
guys;18435;LO,NNS
father;18239;LO,NN
guy;18167;LO,NNP,NN
made;18087;LO,VBD,VBN
old;18004;LF,JJ,NNP
which;17611;LO,WDT
big;17392;LF,NNP,JJ
lot;17160;LO,NN
done;17039;LO,VBN
hello;16905;LO,UH,NNP
nice;16903;LO,JJ,NNP
believe;16835;LO,VBP,VB
girl;16780;LO,NN,NNP
someone;16722;LO,NN
fine;16696;LO,JJ,NNP
thanks;16494;LO,NNS
wanted;16362;LO,VBD
kind;16350;LO,NN
coming;16255;LO,VBG
house;16198;LF,NNP,NN
every;16195;LO,DT
OK;16188;AC,JJ,UH,NNP
through;16179;LO,IN
being;16112;LO,VBG
course;15916;LO,NN
stay;15787;LO,VB,NN
left;15781;LO,VBD,VBN,JJ
dad;15779;LO,NN,NNP
enough;15714;LO,JJ,RB
happened;15661;LO,VBD,VBN
came;15610;LO,VBD
may;15570;LF,NNP,MD
mother;15542;LO,NN
wrong;15463;LO,JJ
world;15449;LF,NNP,NN
bad;15423;LO,JJ,NNP
might;15304;LO,MD
three;15283;LO,JJ
today;15273;LO,NN
listen;15248;LO,VB
another;15232;LO,DT
understand;15224;LO,VB
hear;15034;LO,VB,VBP
remember;14935;LO,VB,VBP
ask;14770;LO,VB,VBP
own;14696;LO,JJ
same;14513;LO,JJ
show;14482;LF,NN
else;14204;LO,RB
kill;14152;LO,VB
talking;14074;LO,VBG
found;14064;LO,VBN,VBD
next;13988;LO,JJ,RB
getting;13805;LO,VBG
care;13796;LO,NN
car;13767;LO,NN
looking;13612;LO,VBG
son;13589;LO,NN
try;13579;LO,VB
woman;13534;LO,NN
went;13415;LO,VBD
hi;13352;LO,NNP,JJ
dead;13239;LO,JJ,NNP
many;13124;LO,JJ
mind;13044;LO,NN
friend;12847;LO,NN
best;12800;LF,JJS,NNP,RB
mom;12720;LO,NN,NNP
hell;12684;LO,NNP,NN
morning;12653;LO,NN,NNP
trying;12642;LO,VBG
boy;12610;LF,NN,NNP
together;12606;LO,RB
yourself;12589;LO,PRP
job;12460;LO,NN
saw;12421;LO,VBD
family;12278;LO,NN
real;12278;LF,JJ,NNP
without;12110;LO,IN
baby;12109;LO,NN,NNP
room;12097;LO,NN
already;11998;LO,RB
move;11830;LO,VB,NN
most;11797;LO,RB,JJS
seen;11773;LO,VBN
live;11715;LF,JJ,VB,VBP
miss;11710;LF,NNP
actually;11655;LO,RB
huh;11449;LO,NNP,UH
shit;11393;LO,NN,NNP
both;11285;LO,DT,CC
heard;11249;LO,VBN,VBD
once;11243;LO,RB,IN
ready;11141;LO,JJ
head;11123;LF,NN
called;11029;LO,VBN,VBD
used;10987;LO,VBN,VBD
idea;10967;LO,NN
knew;10963;LO,VBD
hold;10937;LO,VB,VBP,NN
happy;10927;LO,JJ,NNP
door;10885;LO,NN
such;10884;LO,JJ
fuck;10843;LO,NN,NNP,VB
brother;10833;LO,NN
also;10830;LO,RB
pretty;10817;LO,RB,NNP,JJ
bit;10793;LO,NN
took;10788;LO,VBD
haven;10774;LO,NNP,NN
yet;10752;LO,RB,CC
men;10726;LF,NNS
whole;10717;LO,JJ,NN
start;10689;LO,NN,VB
use;10675;LO,NN,VB
while;10670;LO,IN
since;10606;LO,IN
wife;10589;LO,NN
days;10553;LO,NNS
guess;10434;LO,VBP,VB,NN
tomorrow;10368;LO,NNP,NN
matter;10330;LO,NN
meet;10316;LO,VB,VBP
bring;10310;LO,VB
tonight;10276;LO,NNP,NN
everyone;10256;LO,NN
run;10179;LO,NN,VB,VBN
wanna;10134;LO,NNP
hard;10124;LO,JJ,RB
ah;10107;LO,NNP,UH
alone;10024;LO,RB
myself;10023;LO,PRP
school;10012;LF,NN,NNP
gone;10008;LO,VBN
um;9956;LO,UH,NNP
