# EspanolRegionTags.txt — per-word regional skew. Derived from Wiktionary
# regional sense labels, sense categories and alternative-spelling forms via Kaikki
# wiktextract (CC BY-SA 4.0; attribution: Wiktionary contributors / Tatu Ylonen's
# wiktextract). ES=Spain-preferred, LA=Latin-America-preferred; words labelled for both blocs are omitted as neutral.
# PAIR-GROUNDED (2026-08-11, the absolutamente;LA cleanup): a tag survives only
# when a single-bloc sense names a single-word in-vocabulary counterpart synonym
# (carro->coche, zumo->jugo) — a regional SENSE with no lexical alternative is
# not a variant and must not sink the word for half the user base.
# Regenerate with tools/case-seeds/parse_wiktionary_regions.py --labels es — see docs/.plans/language-resources/plan.md. word;skew
abrochadora;LA
adolorido;LA
ají;LA
altavoz;ES
altoparlante;LA
aló;LA
ananá;LA
anteojos;LA
apisonadora;ES
aplanadora;LA
arete;LA
baca;ES
banano;LA
banquina;LA
barda;LA
bareta;LA
barrilete;LA
basquetbolista;LA
bencina;LA
betabel;LA
birome;LA
bolilla;LA
boludez;LA
brasier;LA
básquetbol;LA
cachiporra;LA
cajuela;LA
calefón;LA
callos;ES
camarero;ES
camote;LA
canopy;LA
caribe;LA
carro;LA
catarina;LA
cebador;LA
celular;LA
cerillo;LA
cesantía;LA
chabacano;LA
chambre;LA
chancho;LA
chango;LA
charros;LA
chaval;ES
chele;LA
chema;LA
chimuelo;LA
chinchín;LA
choclo;LA
choro;LA
chueco;LA
chupeta;LA
chándal;ES
clóset;LA
colegial;LA
colegiatura;LA
colet;LA
competición;ES
computador;LA
computadora;LA
concho;LA
contable;ES
controversial;LA
convertible;LA
corbatín;LA
costo;LA
crayola;LA
crayón;LA
cuate;LA
culear;LA
curita;LA
desarmador;LA
destapacaños;LA
direccional;LA
elote;LA
engrapadora;LA
entretención;LA
escobillón;LA
espabilar;ES
espejuelos;LA
estacionamiento;LA
estelarizar;LA
evangélico;LA
experticia;LA
extrañar;LA
frazada;LA
galpón;LA
gasolinería;LA
gaucho;LA
gis;LA
gofre;ES
golpiza;LA
grama;LA
grapadora;ES
grass;LA
grosso;LA
guajolote;LA
guardavidas;LA
guindilla;ES
guisante;ES
guácara;LA
hucha;ES
intermitente;ES
lacito;LA
laptop;LA
lavarropas;LA
lavavajilla;LA
lentes;LA
lgbt;LA
lgtb;ES
liceo;LA
lighter;LA
liviano;LA
locker;LA
maguey;LA
mesero;LA
metegol;LA
millo;ES
mouse;LA
oliva;ES
ordenador;ES
pajilla;LA
paliza;ES
panqueque;LA
pantimedia;LA
papalote;LA
parqueadero;LA
parquear;LA
patata;ES
pegante;LA
pelón;LA
piruleta;ES
pitorro;ES
pituco;LA
pochoclo;LA
policial;ES
policíaco;LA
pomo;ES
pop;LA
popcorn;LA
popote;LA
poroto;LA
porrista;LA
profesionista;LA
rentar;LA
reservación;LA
romo;LA
rural;LA
sandez;ES
saudita;LA
saudí;ES
sayonara;LA
seta;ES
shockeante;LA
slap;LA
sopapa;LA
sorbete;LA
subte;LA
supercomputadora;LA
superordenador;ES
tanatorio;ES
tebeo;ES
terapista;LA
tile;LA
timar;ES
tiovivo;ES
tiza;ES
tortita;ES
tragamonedas;LA
tragaperras;ES
tuto;LA
uve;ES
venado;LA
waffle;LA
zapatilla;ES
zorrino;LA
zumo;ES
ñato;LA
