# EspanolWordsRaw.txt — Spanish word list. Source: hermitdave/FrequencyWords OpenSubtitles-2016 es_full
# (CC-BY-SA). Filtered to Spanish-alphabet words, source count >= 10 (drops typo tail); counts
# linearly scaled so top approx 1.2M. Fields: word;rawFreq
# 2026-07: purged ~17k English/foreign contamination entries (untranslated subtitle noise: English
# vocabulary with well-known Spanish equivalents, anglophone proper names, English-spelling exonyms).
# Kept: established loanwords/anglicisms, Spanish clitic forms, Spanish names/exonyms, scientific terms.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 940 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-07: mechanical noise pass (layout-analyzer tools/clean_espanol_corpus.py): removed 63 entries — multi-accent, qú, tripled letters, invalid ü, rare accent-typos of common words. See .removed.txt for the list.
# 2026-08: case seeds (5th field lower:title, Vietnamese precedent) regenerated from Spanish
# Wikipedia (CC BY-SA 4.0, 2026-08 pages-articles dump, 34.2M extracted sentences),
# MID-SENTENCE capitalization (sentence-initial and post-.!?…:/quote/¿¡/dash tokens skipped).
# Register correction: subtitle rawFreq scaled by k=21.686 (median wiki/subtitle ratio, top-20
# words) to expected wiki count; missing wiki mass counts as lowercase (kills Notre-Dame-style
# collocation bias); title share >=90% trusted only when word attested >=5% of expected mass.
# Evidence thresholds scaled to corpus size (N>=855, T>=103 ~ Leipzig-run 25/3 per token).
de;1200000
que;1191494
no;1025799
a;789400
la;757411
el;627543
y;589658
es;579177
en;566701
lo;499727
un;467414
por;368172
qué;342787
me;325298
una;319761
los;255798
se;253224
te;251507
con;251278
para;234567
está;200692
mi;200351
si;195750
pero;195096
sí;191275
bien;169202
eso;167564
su;166928
las;166644
yo;159467
del;137330
como;135899
tu;135529
aquí;133961
al;128789
más;124041
le;119271
esto;107264
todo;107141
ya;91399
estoy;90628
muy;89806
ahora;89742
esta;88178
ha;87549
vamos;86963
algo;86368
así;86028
bueno;83879
hay;83873
tengo;79285
él;77509
cuando;77499
estás;75480
sé;74832
tú;74657
nada;71544
nos;71496
este;70766
cómo;70593
o;69897
he;67741
ser;67605
puedo;66972
tiene;66963
quiero;66797
ella;66545
hacer;65535
fue;64976
gracias;64706
era;63782
vez;63663
sólo;63378
soy;62045
todos;56695
porque;56314
son;55787
tienes;55574
creo;54065
sabes;53165
estaba;53081
voy;52514
eres;52296
puede;52062
ese;51434
usted;50904
entonces;50661
hola;49873
casa;48810
verdad;48238
tan;47773
solo;47124
sus;47010
quién;46665
dos;46280
nunca;46122
tiempo;45888
esa;45522
oh;44748
dónde;44436
va;43915
favor;43628
quieres;42874
señor;42446
siento;42422
mucho;42406
mí;42063
mejor;41561
hace;41236
decir;40946
has;40535
también;40104
sobre;40017
dios;39920
sin;39145
tenemos;39118
están;39008
ti;38779
puedes;38478
hombre;38447
ver;38157
vida;37749
alguien;37229
siempre;35262
hasta;35197
cosas;35046
ahí;34924
años;34142
ir;33957
antes;33557
estar;33258
ni;33068
poco;33040
noche;32876
uno;32766
día;32756
hecho;32289
mis;32139
estamos;31081
otra;30607
acuerdo;30373
trabajo;30247
nosotros;29797
parece;29510
gente;29444
mira;29165
padre;29012
sea;28965
mismo;28820
dijo;28512
nadie;28186
quiere;27709
podría;27415
ellos;27148
hablar;27119
vas;26943
tal;26359
fuera;25921
después;25890
pasa;25766
desde;25267
han;25182
dinero;25045
mundo;24652
les;24461
claro;24406
tener;24213
estado;24197;;;3:1
otro;24190
momento;24140
había;24080
mañana;23617
tenía;23489
donde;23487
madre;23265
haciendo;23168
lugar;23094
seguro;23057
vale;22894
sabe;22728
tus;22669
espera;22448
nuevo;22342;;;3:1
podemos;22304
cosa;22277
sido;22252
hijo;22127
allí;22109
tipo;22095
menos;21924
amigo;21563
gran;21481;;;3:1
nuestro;21022
mujer;20837
luego;20280
mamá;20231
días;20063
papá;20052
dice;19966
tres;19895
hoy;19857
buena;19820
necesito;19624
dije;19584
gusta;19455
haber;19078
quería;19070
parte;18946
será;18945
todas;18900
crees;18766
buen;18737
conmigo;18686
nombre;18589
estas;18428
oye;18368
nuestra;18338
realmente;18234
mal;18219
debe;18111
aún;17922
mierda;17831
mío;17611
toda;17607
cada;17468
hacerlo;17351
visto;17172
importa;16849
contigo;16843
tienen;16635
alguna;16629
razón;16435
hemos;16398
tanto;16346
veces;16335
saber;16310
hizo;16252
ven;16143
serio;16125
idea;16103
tarde;16045
problema;15870
quien;15854
hora;15824
eh;15714
cierto;15686
amor;15323
dicho;15320
demasiado;15211
entre;15074
ve;14923
pasado;14662
estos;14647
chica;14626
policía;14531
familia;14529
debería;14403
ustedes;14395
esos;14289
chicos;14131
cuenta;13984
todavía;13766
algún;13746
haces;13677
salir;13674
unos;13547
amigos;13419
veo;13383
vaya;13383
pensé;13193
hermano;13193
cabeza;13016
sabía;12939
cariño;12890
hombres;12746
buenas;12670
van;12607
cualquier;12598
forma;12589
ah;12584
digo;12550
somos;12489
debo;12439
mientras;12435
chico;12368
lado;12367
pueden;12247
caso;12228
sería;12223
primera;12021;;;3:1
pasó;11993
hice;11970
quizá;11912
genial;11906
adiós;11868
supuesto;11814
muchas;11752
esas;11700
personas;11654
durante;11647
volver;11605
camino;11590
contra;11576
señora;11567;;;3:1
hablando;11538
muerto;11506
pues;11336
rápido;11288
historia;11284;;;3:1
cuál;11263
manera;11259
supongo;11208
nueva;11199;;;2:2
ayuda;11190
iba;11168
dentro;11158
casi;11088
ves;11087
persona;11073
quizás;11024
entiendo;10980
puerta;10949
hacia;10887
semana;10871
primero;10871
pasar;10848
espero;10839
niños;10793
significa;10782
año;10780
tío;10668
suerte;10660
juntos;10659
hey;10644
ciudad;10600;;;3:1
pronto;10556
feliz;10447
siquiera;10431
minutos;10410
gustaría;10320
venir;10251
cuánto;10165
